ID,CV_ID,CV_Category,Top_JD_Categories,Match_Scores,Top_Score
11,Java Developer,Java Developer,"['Data Engineer.31', 'Data Engineer.20', 'Data Analyst.5', 'Data Scientist.263', 'Data Engineer.26']","[0.60784566, 0.58769625, 0.5819546, 0.5787457, 0.57463163]",0.60784566
12,Java Developer,Java Developer,"['Data Engineer.75', 'Data Engineer.31', 'Data Engineer.2', 'Data Engineer.20', 'Data Engineer.80']","[0.6844787, 0.6662811, 0.6620792, 0.6509011, 0.6455181]",0.6844787
13,Java Developer,Java Developer,"['Data Engineer.75', 'Data Engineer.20', 'Data Engineer.31', 'Data Engineer.1', 'Data Engineer.36']","[0.6779219, 0.6614317, 0.65500027, 0.64906514, 0.64192575]",0.6779219
14,Java Developer,Java Developer,"['Data Engineer.83', 'Data Engineer.2', 'Data Engineer.75', 'Data Scientist.263', 'Data Engineer.80']","[0.6085397, 0.58775526, 0.58252615, 0.5710068, 0.5627714]",0.6085397
15,Java Developer,Java Developer,"['Data Engineer.2', 'Data Analyst.5', 'Data Engineer.75', 'Data Analyst.13', 'Data Engineer.80']","[0.48981482, 0.4747598, 0.45382762, 0.45086342, 0.45033774]",0.48981482
16,Java Developer,Java Developer,"['Data Engineer.48', 'Data Engineer.45', 'Data Scientist.27', 'Data Analyst.5', 'Data Engineer.31']","[0.56982636, 0.5653856, 0.5517081, 0.5458492, 0.5346344]",0.56982636
17,Java Developer,Java Developer,"['Data Engineer.2', 'Data Engineer.31', 'Data Engineer.88', 'Data Engineer.20', 'Data Scientist.263']","[0.6299718, 0.5808697, 0.5697094, 0.56643, 0.5651897]",0.6299718
18,Java Developer,Java Developer,"['Data Engineer.48', 'Data Engineer.45', 'Data Analyst.5', 'Data Engineer.2', 'Data Engineer.31']","[0.43910077, 0.42731637, 0.42108756, 0.416304, 0.40889105]",0.43910077
19,Java Developer,Java Developer,"['Data Analyst.5', 'Data Engineer.2', 'Data Engineer.75', 'Data Scientist.27', 'Data Engineer.1']","[0.59474415, 0.5919684, 0.58486503, 0.5810734, 0.5748328]",0.59474415
20,Java Developer,Java Developer,"['Data Engineer.48', 'Data Analyst.5', 'Data Scientist.27', 'Data Engineer.2', 'Data Engineer.26']","[0.5023376, 0.50048983, 0.49362403, 0.48803696, 0.48769528]",0.5023376
21,Java Developer,Java Developer,"['Data Engineer.80', 'Data Engineer.75', 'Data Engineer.31', 'Data Scientist.263', 'Data Engineer.88']","[0.55859804, 0.5449209, 0.5270084, 0.52388835, 0.51117134]",0.55859804
22,Business Analyst,Business Analyst,"['Data Engineer.20', 'Data Scientist.356', 'Data Scientist.211', 'Software Engineer', 'Data Engineer.74']","[0.777449, 0.75929666, 0.7565714, 0.75486887, 0.74846065]",0.777449
23,Business Analyst,Business Analyst,"['Data Engineer.20', 'Data Engineer.31', 'Data Analyst.13', 'Data Engineer.2', 'Data Analyst.4']","[0.58856887, 0.58523226, 0.5798824, 0.57334507, 0.56892794]",0.58856887
24,Business Analyst,Business Analyst,"['Data Engineer.20', 'Data Analyst.13', 'Data Scientist.211', 'Data Analyst.88', 'Data Engineer.1']","[0.66084886, 0.6562517, 0.6467818, 0.64297265, 0.6362278]",0.66084886
25,Business Analyst,Business Analyst,"['Data Scientist.146', 'Data Engineer.20', 'Data Scientist.178', 'Data Scientist.357', 'Data Analyst.13']","[0.6606313, 0.6407455, 0.63895494, 0.6319674, 0.6225343]",0.6606313
26,Business Analyst,Business Analyst,"['Data Analyst.13', 'Data Scientist.189', 'Data Analyst.88', 'Data Scientist.43', 'Data Engineer.39']","[0.7546326, 0.6882031, 0.66147655, 0.6572647, 0.655725]",0.7546326
27,Business Analyst,Business Analyst,"['Data Engineer.39', 'Data Analyst.13', 'Data Analyst.8', 'Data Analyst.60', 'Data Analyst.34']","[0.7076865, 0.7044718, 0.6991699, 0.6854688, 0.6727985]",0.7076865
28,SAP Developer,SAP Developer,"['Data Engineer.36', 'Data Engineer.91', 'Data Scientist.60', 'Data Engineer.31', 'Software Engineer.1']","[0.6336717, 0.6296717, 0.6237104, 0.60709953, 0.60460675]",0.6336717
29,SAP Developer,SAP Developer,"['Data Analyst.13', 'Data Engineer.39', 'Data Analyst.88', 'Data Analyst.17', 'Data Analyst.10']","[0.62598777, 0.62215626, 0.61663806, 0.6163266, 0.60750943]",0.62598777
30,SAP Developer,SAP Developer,"['Data Analyst.88', 'Data Analyst.13', 'Data Engineer.17', 'Data Scientist.99', 'Data Engineer.20']","[0.6570356, 0.64821595, 0.6322466, 0.63004947, 0.62935895]",0.6570356
31,SAP Developer,SAP Developer,"['Data Analyst.17', 'Data Analyst.13', 'Data Engineer.2', 'Data Scientist.184', 'Machine Learning Engineer.14']","[0.56979966, 0.5515759, 0.5348639, 0.5328649, 0.52610123]",0.56979966
32,SAP Developer,SAP Developer,"['Data Analyst.13', 'Data Scientist.43', 'Data Engineer.30', 'Data Engineer.77', 'Data Scientist.269']","[0.63414633, 0.62206215, 0.6152369, 0.59849846, 0.58232474]",0.63414633
33,SAP Developer,SAP Developer,"['Data Engineer.20', 'Data Engineer.27', 'Data Engineer.32', 'Data Scientist.211', 'Software Engineer.1']","[0.7600135, 0.755376, 0.7500504, 0.74485075, 0.74312186]",0.7600135
34,Automation Testing,Automation Testing,"['Data Engineer.17', 'Data Scientist.43', 'Machine Learning Engineer.5', 'Data Scientist.6', 'Data Scientist.65']","[0.59336007, 0.5875598, 0.58362067, 0.5761733, 0.569353]",0.59336007
35,Automation Testing,Automation Testing,"['Data Scientist.324', 'Data Scientist.65', 'Data Scientist.314', 'Data Engineer.26', 'Data Scientist.58']","[0.57441247, 0.5618187, 0.5448806, 0.51907945, 0.5185574]",0.57441247
36,Automation Testing,Automation Testing,"['Data Engineer.31', 'Data Engineer.75', 'Data Engineer.1', 'Data Scientist.211', 'Data Analyst.7']","[0.5642059, 0.55984104, 0.5154309, 0.51541555, 0.5108429]",0.5642059
37,Automation Testing,Automation Testing,"['Software Engineer', 'Data Analyst.7', 'Data Analyst.14', 'Data Engineer.86', 'Data Engineer.75']","[0.69062936, 0.68916976, 0.67101955, 0.65175533, 0.6467909]",0.69062936
38,Automation Testing,Automation Testing,"['Data Scientist.6', 'Data Scientist.65', 'Data Scientist.352', 'Data Engineer.77', 'Data Scientist.43']","[0.6661587, 0.6390616, 0.638582, 0.6383306, 0.63026834]",0.6661587
39,Automation Testing,Automation Testing,"['Data Engineer.75', 'Data Engineer.31', 'Data Scientist.27', 'Data Engineer.1', 'Data Scientist.263']","[0.64948016, 0.60318315, 0.59817797, 0.5977846, 0.58881366]",0.64948016
40,Python Developer,Python Developer,"['Data Scientist.27', 'Machine Learning Engineer.5', 'Machine Learning Engineer.25', 'Data Scientist.65', 'Data Scientist.245']","[0.6746165, 0.67169106, 0.66632295, 0.6649716, 0.65674245]",0.6746165
41,Python Developer,Python Developer,"['Data Scientist.27', 'Data Engineer.75', 'Data Engineer.20', 'Data Scientist.64', 'Data Engineer.1']","[0.548296, 0.53728867, 0.5315189, 0.5305615, 0.52998203]",0.548296
42,Python Developer,Python Developer,"['Machine Learning Engineer.5', 'Data Scientist.289', 'Data Scientist.113', 'Data Scientist.246', 'Data Scientist.245']","[0.5691125, 0.5396254, 0.5291598, 0.52430904, 0.52095777]",0.5691125
43,Python Developer,Python Developer,"['Data Engineer.75', 'Data Analyst.2', 'Data Engineer.70', 'Data Analyst.13', 'Data Engineer.2']","[0.60105664, 0.5758201, 0.53343296, 0.5257059, 0.5237171]",0.60105664
44,DevOps Engineer,DevOps Engineer,"['Data Engineer.6', 'Data Engineer.25', 'Data Engineer.58', 'Data Engineer.87', 'Data Engineer.13']","[0.6840025, 0.6643784, 0.64107966, 0.62564695, 0.62354976]",0.6840025
45,DevOps Engineer,DevOps Engineer,"['Data Engineer.2', 'Data Analyst.5', 'Data Scientist.263', 'Data Engineer.75', 'Data Scientist.353']","[0.6251279, 0.6037498, 0.5757359, 0.56756294, 0.5562329]",0.6251279
46,DevOps Engineer,DevOps Engineer,"['Data Analyst.14', 'Data Engineer.13', 'Data Engineer.31', 'Data Engineer.6', 'Data Engineer.4']","[0.6314167, 0.6278995, 0.6227812, 0.6195476, 0.61794]",0.6314167
47,DevOps Engineer,DevOps Engineer,"['Data Engineer.36', 'Data Engineer.6', 'Data Engineer.69', 'Data Scientist.27', 'Machine Learning Engineer.25']","[0.77645844, 0.77328, 0.7704051, 0.7680796, 0.7606814]",0.77645844
48,DevOps Engineer,DevOps Engineer,"['Data Analyst.34', 'Data Analyst.14', 'Data Engineer.20', 'Data Analyst.7', 'Data Engineer.31']","[0.68221664, 0.64939994, 0.6458539, 0.6400379, 0.6346276]",0.68221664
49,DevOps Engineer,DevOps Engineer,"['Data Analyst.14', 'Software Engineer', 'Data Analyst.7', 'Data Scientist.338', 'Data Engineer.20']","[0.73102033, 0.7220218, 0.71503943, 0.7048024, 0.69845706]",0.73102033
50,DevOps Engineer,DevOps Engineer,"['Data Scientist.27', 'Data Engineer.17', 'Data Engineer.36', 'Data Engineer.8', 'Data Engineer.20']","[0.66581583, 0.6599894, 0.6557711, 0.64999735, 0.649714]",0.66581583
51,Network Security Engineer,Network Security Engineer,"['Data Scientist.47', 'Data Analyst.41', 'Data Engineer.88', 'Data Scientist.27', 'Data Engineer.23']","[0.5321281, 0.52978754, 0.51807344, 0.5054743, 0.50177705]",0.5321281
52,Network Security Engineer,Network Security Engineer,"['Data Analyst.41', 'Data Scientist.43', 'Data Scientist.82', 'Data Analyst.68', 'Data Engineer.8']","[0.5317814, 0.49676245, 0.48852426, 0.48578292, 0.4843482]",0.5317814
53,Network Security Engineer,Network Security Engineer,"['Data Scientist.43', 'Data Analyst.4', 'Data Scientist.6', 'Data Analyst.13', 'Data Engineer.17']","[0.49612018, 0.48641232, 0.4850769, 0.4763597, 0.46708578]",0.49612018
54,Network Security Engineer,Network Security Engineer,"['Data Analyst.41', 'Data Engineer.88', 'Data Scientist.113', 'Machine Learning Engineer.21', 'Data Scientist.27']","[0.62599397, 0.607129, 0.58872044, 0.58601344, 0.5774845]",0.62599397
55,Network Security Engineer,Network Security Engineer,"['Data Engineer.88', 'Data Scientist.27', 'Machine Learning Engineer.21', 'Data Engineer.8', 'Data Scientist.289']","[0.4578637, 0.42892003, 0.42588165, 0.42323548, 0.41304433]",0.4578637
56,Database,Database,"['Data Engineer.31', 'Data Scientist.263', 'Data Engineer.75', 'Data Engineer.2', 'Data Engineer.8']","[0.6471888, 0.6236749, 0.60857546, 0.6084739, 0.60000247]",0.6471888
57,Database,Database,"['Data Engineer.36', 'Data Engineer.31', 'Data Engineer.69', 'Data Engineer.8', 'Data Scientist.263']","[0.635973, 0.6190397, 0.6149025, 0.60106015, 0.59484863]",0.635973
58,Database,Database,"['Data Engineer.36', 'Data Engineer.69', 'Data Engineer.41', 'Software Engineer.1', 'Data Analyst.10']","[0.69075304, 0.6886985, 0.6549804, 0.63309574, 0.6266985]",0.69075304
59,Database,Database,"['Data Scientist.263', 'Data Engineer.8', 'Data Engineer.31', 'Data Engineer.36', 'Data Engineer.20']","[0.6012293, 0.5924006, 0.5819893, 0.5767595, 0.56548536]",0.6012293
60,Database,Database,"['Data Scientist.263', 'Data Engineer.17', 'Data Engineer.39', 'Data Engineer.20', 'Software Engineer.1']","[0.52208364, 0.5139638, 0.49749726, 0.49640322, 0.49310064]",0.52208364
61,Database,Database,"['Data Scientist.263', 'Data Engineer.31', 'Data Engineer.36', 'Data Engineer.75', 'Data Engineer.58']","[0.61987436, 0.6015389, 0.57217246, 0.5686805, 0.5686779]",0.61987436
62,Database,Database,"['Data Engineer.36', 'Data Scientist.263', 'Data Engineer.31', 'Data Engineer.75', 'Data Scientist.60']","[0.60337675, 0.5950325, 0.59453464, 0.5803044, 0.56851876]",0.60337675
63,Database,Database,"['Data Engineer.36', 'Data Engineer.69', 'Software Engineer.1', 'Data Engineer.94', 'Data Engineer.2']","[0.61465925, 0.609143, 0.6060053, 0.5962232, 0.5867797]",0.61465925
64,Database,Database,"['Data Engineer.20', 'Data Engineer.36', 'Data Scientist.263', 'Data Engineer.1', 'Data Engineer.31']","[0.7825788, 0.7729486, 0.7584576, 0.749458, 0.7466818]",0.7825788
65,Database,Database,"['Data Scientist.263', 'Data Engineer.8', 'Data Engineer.75', 'Data Engineer.36', 'Data Engineer.17']","[0.54856884, 0.54688907, 0.5447916, 0.53956974, 0.53661454]",0.54856884
66,Database,Database,"['Data Engineer.1', 'Data Scientist.187', 'Data Scientist.178', 'Data Scientist.264', 'Data Scientist.176']","[0.68665147, 0.67197245, 0.67101455, 0.6685872, 0.6684457]",0.68665147
67,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.87', 'Data Engineer.45', 'Data Engineer.12', 'Data Engineer.58']","[0.69436836, 0.6593053, 0.65256846, 0.6495131, 0.6389591]",0.69436836
68,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.45', 'Data Engineer.58', 'Data Engineer.75', 'Data Engineer.62']","[0.77507305, 0.77343583, 0.7175027, 0.7093334, 0.7043068]",0.77507305
69,Hadoop,Hadoop,"['Data Engineer.58', 'Data Engineer.62', 'Data Engineer.52', 'Data Scientist.263', 'Data Engineer.49']","[0.6646693, 0.6555102, 0.6508616, 0.649548, 0.62443256]",0.6646693
70,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.58', 'Data Engineer.75', 'Data Engineer.83', 'Data Engineer.87']","[0.7777753, 0.7552877, 0.7534368, 0.72840023, 0.71913564]",0.7777753
71,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.58', 'Data Engineer.45', 'Data Engineer.75', 'Data Engineer.13']","[0.7603016, 0.7350831, 0.7239095, 0.6972468, 0.6746841]",0.7603016
72,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.66', 'Data Engineer.75', 'Data Engineer.83', 'Data Scientist.353']","[0.74610174, 0.72725993, 0.7215872, 0.7037427, 0.6745807]",0.74610174
73,Hadoop,Hadoop,"['Data Scientist.263', 'Data Engineer.58', 'Data Engineer.45', 'Data Engineer.12', 'Data Engineer.13']","[0.6927225, 0.6361586, 0.62975115, 0.61507714, 0.61107326]",0.6927225
74,ETL Developer,ETL Developer,"['Data Engineer.36', 'Data Scientist.211', 'Data Engineer.39', 'Data Engineer.27', 'Data Engineer.8']","[0.6765682, 0.67492414, 0.6664384, 0.6626202, 0.65850425]",0.6765682
75,ETL Developer,ETL Developer,"['Data Engineer.39', 'Data Engineer.36', 'Data Engineer.68', 'Data Engineer.27', 'Data Engineer.32']","[0.6718001, 0.6447533, 0.63669384, 0.6347252, 0.62685955]",0.6718001
76,ETL Developer,ETL Developer,"['Data Engineer.2', 'Data Engineer.20', 'Data Engineer.75', 'Data Engineer.23', 'Data Engineer.1']","[0.70083314, 0.6791757, 0.6746987, 0.6697062, 0.6688276]",0.70083314
77,ETL Developer,ETL Developer,"['Data Engineer.36', 'Software Engineer.1', 'Data Engineer.27', 'Data Engineer.32', 'Data Analyst.10']","[0.682973, 0.66405284, 0.6602784, 0.65522206, 0.6548542]",0.682973
78,ETL Developer,ETL Developer,"['Data Engineer.77', 'Data Engineer.2', 'Data Scientist.353', 'Data Engineer.75', 'Data Engineer.66']","[0.6406284, 0.636016, 0.6284642, 0.62636733, 0.61503404]",0.6406284
79,Blockchain,Blockchain,"['Data Scientist.269', 'Data Engineer.83', 'Data Scientist.258', 'Data Engineer.75', 'Machine Learning Engineer.5']","[0.53993976, 0.5299314, 0.5288825, 0.52535415, 0.5203284]",0.53993976
80,Blockchain,Blockchain,"['Data Engineer.13', 'Data Engineer.6', 'Data Scientist.190', 'Data Engineer.58', 'Data Engineer.83']","[0.620687, 0.62061894, 0.6138024, 0.613429, 0.6125875]",0.620687
81,Blockchain,Blockchain,"['Data Engineer.75', 'Data Engineer.83', 'Data Engineer.66', 'Data Scientist.353', 'Machine Learning Engineer.14']","[0.6249149, 0.6102171, 0.59606826, 0.5862444, 0.57690847]",0.6249149
82,Blockchain,Blockchain,"['Data Scientist.27', 'Data Engineer.88', 'Data Engineer.31', 'Machine Learning Engineer.21', 'Data Engineer.94']","[0.6182219, 0.61148226, 0.60686743, 0.6052332, 0.5956006]",0.6182219
83,Blockchain,Blockchain,"['Machine Learning Engineer.4', 'Data Engineer.76', 'Machine Learning Engineer.6', 'Data Scientist.353', 'Data Engineer.10']","[0.6793392, 0.65756387, 0.64801776, 0.6477832, 0.64568245]",0.6793392
